fe_idx	fe_device_idx	fe_user_idx	fe_event_type	fe_event_value	fe_raw_data	fe_analysis_result	fe_timestamp
36370	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5419504395750323,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5419504395750323,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:10
36371	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.721556766648632,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.721556766648632,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:13
36372	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.424747329866705,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.424747329866705,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:15
36373	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.99887308889916,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":5.99887308889916,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:15
36374	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.54175320711974,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.54175320711974,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:18
36375	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.434323178267505,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.434323178267505,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:22
36376	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.748298953390304,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.748298953390304,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:23
36377	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":6.001552176920939,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":6.001552176920939,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:23
36378	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5429041439313096,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5429041439313096,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:28
36379	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.46768269020123,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.46768269020123,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:30
36380	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.739168240267901,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.739168240267901,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:30
36381	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":6.00424927491207,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":6.00424927491207,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:33
36382	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5395055657020293,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5395055657020293,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:36
36383	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.760075802581724,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.760075802581724,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:38
36384	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.45328772353659,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.45328772353659,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:38
36385	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":6.003366294824758,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":6.003366294824758,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:20:41
